High_ITC.NS,Low_ITC.NS,Volume_ITC.NS,sma7,bollinger_low,stoch_k,obv,return_1d,volatility_10d,Close
0.0048689733113299605,0.00709876592768105,0.1624883648801461,0.024427298057090707,0.03910232629034477,0.003272723447060229,0.062226337070971346,0.4050591283198121,0.6329288085481131,0.005718898919499504
0.0013466561973447533,0.0,0.1695738499173215,0.01800623116004979,0.030646623700625486,0.02256242755973952,0.052676755312254256,0.4089894680450838,0.6339120441876538,0.0
0.0,0.001879147821947924,0.12125171707073881,0.010827970436668,0.023917070517335992,0.03645091508928307,0.059505067496688394,0.5265974486491843,0.6422937283219787,0.00041599013918941496
0.004972535922700194,0.0008351503410990446,0.14331067072116807,0.005678999613832614,0.020987460478137487,0.2797054492261109,0.06757563361060066,0.7855313921465021,0.843498163525739,0.014141241144569494
0.020926430827503173,0.015450300700375064,0.13411465687488547,0.0030590857869737254,0.018383523984723982,0.292606191861962,0.07512832455612942,0.5320894854453024,0.8482381786388821,0.014869145072285261
0.009841629855728062,0.010126224209752621,0.10017490680931776,0.0,0.01662157552924326,0.23363545920142303,0.06948695672014607,0.45647758552198514,0.8077456045404307,0.011541815077762752
0.004143773118275407,0.008455853691884452,0.10017658197576783,0.0002271478167401586,0.015196718352853189,0.2649622422367665,0.07512841889342838,0.5517601303423862,0.8177713685033562,0.013309379089989248
0.007873262773303191,0.012631615141037889,0.13938255281040968,0.0013629500353204982,0.01483693000648667,0.2686485678083123,0.08297777234297665,0.5223880970164018,0.7231496375229923,0.013517374159583928
0.016886134674376385,0.01670301396992263,0.13496595636281186,0.00514896221353367,0.014754533384401747,0.4897903867579622,0.09057840437178608,0.7519735373556159,0.8391613583149617,0.025994950306892195
0.027970916139180346,0.029021415419102914,0.16966577635143534,0.010388786997484079,0.014954176548433118,0.6740745374503909,0.10013316298412053,0.7062226206702624,0.6074377379288972,0.03639289102171628
0.05583832667736427,0.03246644343718186,0.39119959078229877,0.01762763711664661,0.013333551396602528,0.9652301319492798,0.12216363807195793,1.0,0.8516656846636793,0.06384355066420788
0.058842520208665317,0.05741642658036816,0.261418234378448,0.02397297372593782,0.012367144061055269,0.8479058443959667,0.10744182333676361,0.4302763322503784,0.8369726054165074,0.05843654582926833
0.06516194104703843,0.06409765210340085,0.35669924961454924,0.032423330523525085,0.01011203870314259,0.9233356498707177,0.12752940552663536,0.7025489406806635,0.8246636651602256,0.06956239047180812
0.06298642660539805,0.062218560588730265,0.1644753401125622,0.040752548706292246,0.008129472515870317,0.9355174625706029,0.13679186379165392,0.5335429858395239,0.8000034976699307,0.07049821065325285
0.06091447731042787,0.06660307296612411,0.1646894464868781,0.04859714929489989,0.006834803898861319,0.894911249243243,0.1275173480877815,0.4684468538681882,0.8254443298579712,0.0673787969124594
0.07148127268969251,0.06660305243174042,0.2401158194001978,0.05665376254781329,0.004205982150358056,0.9948706352215654,0.14103951350445115,0.7437934338356026,0.7989334329269406,0.08131206269140062
0.08650276344908875,0.0874817986902775,0.19102529440363542,0.06416520037822615,0.0012202896100063643,0.9104623127081866,0.15179713720515703,0.622447060625457,0.7845157415804781,0.08796680149631131
0.07956177333243375,0.08267965594899757,0.15164526707416587,0.06667909926363036,0.00027270915437488386,0.8254423230815726,0.1432572068034276,0.41300248984778604,0.8505624218501149,0.08110410702973875
0.07748989689822866,0.08038306376933885,0.12717319594842097,0.06981391820812105,0.0,0.812664036831332,0.1360954254744142,0.5006184355542395,0.849187897797727,0.07996037059456501
0.08080497002139725,0.0791303140766112,0.1473881665746118,0.07237325698803537,0.0021199351600438288,0.8928212230778447,0.14439561649831273,0.6309376363400632,0.8339184997752032,0.08713493944173106
0.07976898142935324,0.0867509980878618,0.09802845573085532,0.07475086488758159,0.006257226308417407,0.8835411984797389,0.13887512643962144,0.5136889060431409,0.47753234338112105,0.08682298624527185
0.08318763622849373,0.08330602196639764,0.13100681436939823,0.0768710259678465,0.012932445254389469,0.8173635693977969,0.13149745420195263,0.44316480025692184,0.4692241276447223,0.08193592967638619
0.08847102127797651,0.08466310188660492,0.26745214372759285,0.07721933535754472,0.02070079854352941,0.787178992800114,0.1465590696238828,0.5460640837830475,0.4020602357216444,0.08370357250447835
0.0821516865063846,0.08602026980455751,0.18225586504419514,0.07676501102639188,0.026534508757925734,0.792953445056376,0.15682284133805832,0.5362577029845635,0.40194783494687236,0.08484738775551781
0.07821502176235934,0.07620726569167441,0.13298900532643296,0.07585636810362067,0.03336482087578019,0.4444526117980274,0.14933354166128365,0.36389610535229255,0.473817213050829,0.07486531895608461
0.06567993034458891,0.06420206037193033,0.1511855678969386,0.07500830022779409,0.04215426753712659,0.3583180559834534,0.14081949930113308,0.5069429806085148,0.3198824668246113,0.07413749384423457
0.06308997673185857,0.06096580732109508,0.16391527836297856,0.07108599419395584,0.051231566983370835,0.03303246576725384,0.13158858101394827,0.2969697290387449,0.38871914567821,0.06020418865736049
0.056874241149567295,0.05177919321054747,0.18518030362606328,0.066542791059169,0.06159831095119883,0.11740650040167151,0.12116011901675144,0.4431519658735923,0.37950537448734345,0.05562912469286685
0.04454632959657889,0.04927377632492741,0.16099887387940495,0.0615604159642672,0.06774684723812935,0.006783725390251892,0.11209343857090218,0.3868095649032238,0.39988134471778947,0.04772669132591789
0.04972616522147444,0.04927380482492838,0.1935654095978635,0.05795615475479282,0.07332047167369005,0.2237636689355888,0.12299410931415422,0.7095494019037287,0.4884428197884888,0.05895653350325508
