High_COLPAL.NS,Low_COLPAL.NS,Volume_COLPAL.NS,sma7,MACD_diff,bollinger_low,vpt,return_1d,Close
0.0,0.0,0.3805043240802765,0.0,0.4739770651622143,0.0,0.0,0.5463582192788456,0.0
0.0394384759039606,0.004908072806849073,0.4625352833413131,0.0020811891043202024,0.5353303596356327,0.004286911416586714,0.08739555458147055,1.0,0.03137170995252753
0.03617542944198604,0.03135132304490723,0.3411556758068969,0.004396593340566801,0.5785561661981291,0.008342897915104897,0.09138015724565021,0.45724459108709203,0.03345005417701119
0.03330763530385755,0.033285176588873755,0.1705711047018311,0.0067504995311286065,0.5960863839090258,0.008345678177078597,0.08651924536452837,0.33423057223797803,0.028356521315260674
0.03047348108820591,0.030131848473968714,0.2742553124505815,0.010005302587150877,0.6029415099504479,0.008254481520059309,0.08464311189400586,0.40053916225704755,0.027147064116481656
0.028460973399792866,0.025985377727759218,0.1400469540724678,0.014210994646036146,0.5956567013330607,0.008448202463858523,0.0803814023605627,0.3283130706172726,0.02178091846873531
0.026314359726092695,0.027640499300938592,0.10509526843364075,0.019039199441684307,0.5959392731444395,0.010387641439591033,0.08299036026378034,0.4974913172102157,0.026107938077044646
0.026213719943759095,0.026229304017422295,0.18711221535617636,0.022626620562052502,0.5906627927433604,0.010385345162643111,0.08112431878337314,0.3909496799807174,0.02435325530627408
0.034162959541216675,0.03110743698295687,0.3132858624421468,0.022606551766193195,0.5964747798533504,0.010139935900512265,0.09342523331735916,0.5417015429467156,0.03123547266873683
0.03114431294837855,0.02960919645413773,0.10473440522263514,0.02133428376761548,0.5865858211605771,0.010587049052952102,0.08964415041472684,0.3109496743311525,0.02481324618938746
0.025442258374358206,0.024121232213839494,0.07616452086810259,0.019956608779355067,0.5682846736987648,0.011560038118981264,0.0871224327331227,0.3201129269395586,0.01900415659630339
0.022423509839480438,0.013929343898671454,0.11596684134775403,0.019522465819080792,0.5639705120301473,0.011802528584440697,0.09060027438502374,0.5133061281026845,0.02419987893909814
0.024771538030302243,0.020793724392429158,0.18117061987491898,0.01869938728751397,0.5465478035152693,0.011677921365429778,0.08232200115475619,0.28158248338392156,0.01619343906673454
0.02062908953793091,0.01838941252112558,0.09323282301124428,0.017178665288659134,0.5344837625997898,0.011391947391617308,0.08210056709476332,0.4142122452860325,0.01578449685133848
