High_RELIANCE.NS,Low_RELIANCE.NS,Volume_RELIANCE.NS,sma7,sma21,rsi,bollinger_mavg,bollinger_low,stoch_k,obv,return_1d,return_5d,Close
0.002102874599809401,0.005324981320203759,0.3810063438920991,0.0,0.0,0.8778476571562226,0.0,0.0,0.8377993626151624,0.0,0.4155970618485522,0.5437017345136328,0.00607741841236864
0.008740182192443435,0.019411553045716734,0.3200452852499199,0.006088015134859459,0.009345200832579392,0.9038852888189393,0.007928557920503176,0.00680339020686227,0.9115368516227268,0.02386001765139459,0.6626696199283241,0.5788908722353401,0.018025357859805413
0.011561045605057552,0.018606606425073502,0.2885803499083322,0.00905571463141952,0.016883054599167058,0.9039875361274818,0.01662048937773286,0.018815972403630088,0.9112604680682177,0.045374261291264456,0.5500190215759496,0.5837651607025488,0.018072345073585905
0.025167555824949894,0.01836983139624926,0.35656019749743567,0.014292427678193276,0.02614787561139198,0.9480728979029487,0.026436906109170377,0.03232816058734572,0.9913764236925919,0.07195653885685996,0.7512826895316193,0.717154580504125,0.039761809394382785
0.05657637345081101,0.061979056015371015,0.6005710982529101,0.02335831671906219,0.03666937090489897,0.9898965250571035,0.03456659570841725,0.03438129266661133,0.9665382924571915,0.1167303182738634,0.7817069469734802,0.7544160203566685,0.06551233891275554
0.07321718652891884,0.07864626772442107,0.4781393961090487,0.03352309747723381,0.04472205954613162,0.9999999999999998,0.04335794925519554,0.03921288935165973,0.9245450106009576,0.1523765688414365,0.6108324430296851,0.8881161101520321,0.0725544035437321
0.05110064907128309,0.02783982158808973,0.7176054288360043,0.0344218863090584,0.050958708969369604,0.6970059568943632,0.04928437155169263,0.04695657238909584,0.5714616219577849,0.09887764544566394,0.15503935017438925,0.5432597803312007,0.026757489835494197
0.038359049765074094,0.029157312498452437,0.4734714171908674,0.03953885580607708,0.05727323675705254,0.7356749583811066,0.056632057269679126,0.0582233395512311,0.6135150494368601,0.1341758888263879,0.6848899818205068,0.6292094729810764,0.041491822272336276
0.023857630975572475,0.017709394058965433,0.35114201404540374,0.03878666171549061,0.06293012601010839,0.5925718527558153,0.06348209338809863,0.07642612862366666,0.3809579363864341,0.10799754769967176,0.2917489733048286,0.3393160743786794,0.012819443437092959
0.009500115346997129,0.010563639924368373,0.4429815332097487,0.03963346856449246,0.0699549665662128,0.6258596728044994,0.07045720649673648,0.09582126898126847,0.3622148468546377,0.1410227091026051,0.6537307089614443,0.2645678846470496,0.02393307177117665
0.016822500331082124,0.016729694721409838,0.4475703342854441,0.036069317437625315,0.07617547278671888,0.5840496727880137,0.07572326753623682,0.11131007461131498,0.27606592058041574,0.10765544337971802,0.4680836808701207,0.18063587218325866,0.015094418373511331
0.0071071515542724395,0.004899495651549568,0.3016003261023795,0.026603546357009678,0.08048215344945353,0.5157362098589525,0.0798019386194877,0.126265484962719,0.020494331558738574,0.08517053441175834,0.40859965133125853,0.3375224784137991,0.0
0.0,0.0,0.39429257687449354,0.017818480266404424,0.08490255038669747,0.5569567850152304,0.08460021533069395,0.1472651256646353,0.19184469769429063,0.11456583650687527,0.6618389905683099,0.32386508645948686,0.011753204972886011
0.006987408150262331,0.015295645463491825,0.27916430192740066,0.016167534341845924,0.08962862553229323,0.5694644964581941,0.08668718478015291,0.15329792590752617,0.229067665581596,0.1353780948922023,0.5831662692628834,0.5069677160438636,0.015331338916020343
0.005336332534846222,0.01601268424828528,0.26962070983887293,0.011723435539561788,0.09139947266880544,0.5463742581726252,0.08838350912646054,0.15892749020672475,0.18124552501526114,0.11527733043034352,0.5066607806022909,0.41556711467587937,0.010734337814125361
0.0013639923650762276,0.011137126191217428,0.2367469163690685,0.010908585585693853,0.09284727210323762,0.5280040660661832,0.08885315399602045,0.16019873835817927,0.1442689565933517,0.09762737317798739,0.516170011605565,0.44563478389894606,0.007179889523714178
0.003421932736824451,0.009081811804840245,0.2542183636659046,0.009960182633609316,0.09376511536945698,0.5697102772516084,0.08952744593887652,0.1615495652427233,0.2502673428286571,0.1165798618535838,0.6458666145832941,0.5965533149734817,0.017369201264096912
0.015745585415179342,0.026767329959313413,0.28599442965453886,0.012117166686323233,0.09499149226557535,0.6183773958381132,0.09085432662630599,0.16357805273835485,0.3819019285771516,0.13790131995420593,0.6673750690925426,0.6000659848173888,0.03002284513212783
0.012036603155891279,0.028512082216981316,0.2852549589248817,0.015917595348992508,0.09608048606336272,0.5962724437465258,0.09202752099551093,0.16580600734093048,0.343201229841972,0.11663499087899201,0.5155788198181576,0.5566181127808159,0.02630266128793235
0.04379101882680381,0.03964911944560734,0.28469314477113633,0.02185105195485404,0.09842246194019288,0.6908843347417684,0.09359909558247625,0.16539324409929262,0.7996788486818316,0.137859435582703,0.7932411309011589,0.7411026017478956,0.05281849345037293
0.04458074177171889,0.06108687369308463,0.1578992488361235,0.02831861880948805,0.10025276937975791,0.7137140895400929,0.09622876964838512,0.1663292635411488,0.9810872329851036,0.14963114114440149,0.6139705479868913,0.8068108403463282,0.060093189600257224
0.05415251646608965,0.06708559503462275,0.18090158452902164,0.03585783771248996,0.1028826155869903,0.7226892082194838,0.0984140579518683,0.166178296544441,0.8988689588955552,0.16311771694775115,0.5742913253819044,0.7589592226354761,0.06291306257986307
0.06827095578920528,0.07074226821252705,0.24377246205329378,0.046522995927378075,0.10579620301919235,0.7771484121497765,0.10147725994809242,0.16456143543802587,0.9605788431064824,0.18129144271588274,0.7073983527720477,0.78533329793954,0.08099315350204217
0.08191060679040796,0.08637229220891429,0.2357494423339698,0.05584600154449382,0.10874927465183759,0.7797448490814562,0.10352837424300765,0.16239396385983423,0.8464003787994364,0.19886703627915756,0.5572508360316881,0.8136242229247841,0.08189346436663192
0.08210212871946598,0.08221388951464659,0.22390568010965642,0.0625053005204681,0.11043122161521401,0.7368725019893891,0.10404438616943867,0.16158084333753459,0.7896885535460143,0.18217441893442118,0.5003921511125059,0.6218967080991205,0.07611166850635909
0.06516009866978667,0.06691833548706339,0.18429329559747817,0.06748693187288501,0.11021226943122664,0.6304668530301007,0.10347118675184042,0.16231197639187517,0.643335035626364,0.168434984271118,0.4181340033223693,0.49594360204733706,0.06078039360561638
0.06350889819053085,0.0702880993785181,0.15774734341197158,0.07103398999187738,0.11043498046370337,0.6920093382842099,0.10593506072414804,0.16200044489124316,0.7824161639833038,0.18019536497890157,0.6947910850825273,0.5715531889002873,0.0773675842381839
