High,Low,sma7,vpt,return_1d,return_5d,sma21,bollinger_mavg,rsi,ema30,stoch_k,Volume,Close
RELIANCE.NS,RELIANCE.NS,,,,,,,,,,RELIANCE.NS,RELIANCE.NS
671.2845838252708,641.3913993822197,669.3509957449777,183.584835813224,-0.040429082370829206,-0.03808265447644443,621.3193330310639,626.8414794921875,59.115419960479706,601.5928173106231,100.00019604272023,49266771,644.03759765625
657.8293055745453,634.6861781215624,670.1433454241071,193.94969880809242,0.01633068964183937,-0.05670792028914562,628.1611793154761,633.6211090087891,61.20865305811535,605.0097436635668,100.00016799132294,62152260,654.55517578125
664.6915798724057,640.4720791211105,666.8083844866071,185.76504404165024,-0.01277909690875767,-0.07762116692855592,634.2196539015997,638.7395812988282,58.63738129624717,607.6665699922279,100.00019030058358,62796089,646.1905517578125
655.5867038678601,629.3713052201567,657.9512765066964,171.8516467880767,-0.022106818563497388,-0.03852980680676232,638.4141409737723,642.7039398193359,54.431917482929755,609.2303612490298,100.00022840063862,42315854,631.9053344726562
648.926409724871,624.7741185975052,649.7311226981027,182.8492878819255,0.017602587505603395,-0.041932562117548366,642.7193952287946,647.3677429199219,57.016932698705375,611.4108865502517,100.00018403618273,55320985,643.0285034179688
655.4746011836272,639.1264331928998,648.1863403320312,186.21496979175924,0.005266065890937588,0.003690989841461878,647.3223615373884,649.3962249755859,57.801751569778645,613.6691992816367,100.00018159816574,39167981,646.4147338867188
653.9272255656418,639.7991812216894,644.0280064174107,181.9089087217854,-0.00673033226105646,-0.019083231321366467,649.0470784505209,651.0450073242188,56.37747741032964,615.5011314537388,100.00019952709168,37828973,642.0641479492188
650.2046473472376,635.2243921370379,643.2655465262277,178.58097262287342,-0.005238992929279762,-0.01159127647327629,650.4571678524926,651.5014923095703,55.24403067034041,616.9978570643343,100.00023736025831,33216635,638.7003784179688
652.1331540526743,633.2957425085579,642.3781302315848,188.1422585501151,0.01509766335925189,0.026013275010269732,651.3511003766741,652.1568817138672,57.85956176564372,619.020141235587,100.00020832934771,35667956,648.34326171875
663.6823600946257,649.8907019448648,644.3964146205357,200.14612144149243,0.018470587216365075,0.02688844891104525,652.5455322265625,653.4465759277343,60.914406278471816,621.6845542191278,100.00017227651016,40126278,660.3185424804688
660.2063906711481,651.5277548331153,647.9524710518973,196.67218085998888,-0.00533199170063503,0.01606243648414174,653.6061546688989,654.5868865966797,59.54763292943085,623.9499203657768,100.00018287628659,40022527,656.7977294921875
689.9650310369938,661.9780043641605,653.504377092634,221.96421861328983,0.03820676455495575,0.06203071434702845,655.8871227446057,656.1144165039062,65.4908825281853,627.6881090972187,100.00004492842953,39943702,681.891845703125
690.7050666401248,682.0936373821312,659.5560477120536,228.85083848152183,0.01009629688771585,0.07840303763201706,657.6697503952753,658.6703918457031,66.92653751072824,631.6292909762792,100.00000870588622,22153960,688.7764282226562
699.6752681522404,687.7224430978274,666.6104736328125,231.51545593156422,0.0038745535743165416,0.06648001177882024,660.2310936337426,660.7944366455079,67.49111725618265,635.4883773258439,100.0000371509143,25381289,691.4451293945312
712.9062834264219,691.1535510997613,676.5898088727679,248.61883619834362,0.02474613671529946,0.07305138280077039,663.0687837146577,663.7717864990234,70.91885084521434,640.202399762735,100.00001963846795,34202350,708.5557250976562
725.6888624815289,705.8198631037649,685.3133370535714,249.46777945566237,0.0012027760930184428,0.08010111352373861,665.9449375697544,665.7654205322266,71.08239899291885,644.6672745512279,100.00007349221909,33076685,709.407958984375
725.8682016145698,701.9177685616756,691.5444074358259,244.05363021398242,-0.007713366841780145,0.032327985137282855,667.5830688476562,666.2669677734375,68.42171115189227,648.4910655580036,100.00009900209751,31414953,703.93603515625
709.991077431728,687.5655661864354,696.2057146344866,229.8818943427628,-0.02061146829941296,0.0009443581886718899,667.3698207310268,665.7098327636719,61.81462656404887,651.1320858370235,100.00016449662164,25857161,689.4268798828125
708.4436685418106,690.7275274540099,699.5246930803571,245.60932420849588,0.022769368876470963,0.019784021678865615,667.5867309570312,668.1046569824218,65.67642986867071,654.6154799652297,100.00009372664337,22132647,705.1246948242188
703.2409024478325,686.6685150122122,699.652849469866,230.56257669776002,-0.021912680109511418,-0.02664885975741016,669.1317458379837,669.0297088623047,59.31751569337007,656.8772891900032,100.00017755476165,20385805,689.6735229492188
714.4760815532433,671.4191122789366,702.6738804408482,252.874780144318,0.03323140947064451,0.004488795433857495,671.1041201636905,672.4574462890625,64.76681764516442,660.4718089965454,100.00006512535633,38548899,712.5923461914062
729.7030596822935,700.1686815813707,704.9004255022321,264.2226204835241,0.016207294952948148,0.028703609933264485,674.9185936337426,675.9367645263671,67.15438105848551,664.5795336114356,100.00002728230861,53107403,724.1415405273438
739.3908231579123,711.0225628282766,707.207048688616,265.6098064709214,0.0019509732319595852,0.052402136412770695,678.2995053245908,679.9049530029297,67.4450030464512,668.51339088096,100.00006787567985,51187003,725.5543212890625
733.5153291065551,718.5575548959516,710.1448015485491,264.5659545924917,-0.0014527046181858072,0.027478275110464967,682.0285412016369,684.534701538086,66.96892135061745,672.1254498677226,100.00007304621073,41782053,724.5003051757812
746.7687533396607,720.1272773383865,717.753435407366,282.6431909143827,0.025102835138678614,0.07686795589688877,687.3038736979166,689.5176422119141,70.79915996757332,676.6778283855813,100.00002002170608,40471557,742.6873168945312
802.2942404451132,745.4232529026658,729.7510637555804,329.2349736670295,0.06250379575793907,0.10737660526283554,694.2600446428571,696.652310180664,77.8570426401755,683.9313938614612,100.0000646855307,105804173,789.1080932617188
