High_TCS.NS,Low_TCS.NS,Volume_TCS.NS,sma7,sma21,ema30,MACD_diff,rsi,bollinger_low,stoch_k,obv,return_1d,return_5d,Close
0.0,0.005627212014123972,0.1714225314777531,0.0,0.0,0.0,0.5368082080896744,0.6657907140688322,0.0004464156911819783,0.9590606984834698,0.03553361061472905,0.6095940412972073,0.6292876364105493,0.01664154296917364
0.011796230199882851,0.012630711391843685,0.18465432979109322,0.0035344884270257504,0.0041544500906439685,0.0031112596159680317,0.5748369230987046,0.7021250998366693,0.0,0.9400458455671272,0.05151936413790152,0.5756685719754088,0.7171058898594984,0.026705903860384295
0.009020606533212905,0.0,0.2306185355361565,0.005566682096039166,0.005226804760191106,0.004254798374259017,0.5293950018243685,0.549845372327736,0.006227127902784346,0.46696725613671414,0.0315544325214764,0.18593276759262628,0.42473579466084443,0.0
0.00416325566888287,0.005661937759803948,0.17551803289314877,0.011185849690629524,0.008319662004236283,0.006747743907196235,0.5460227490594265,0.6301610512775502,0.010875283944117409,0.8479971089399626,0.04674924553168987,0.7039796372765614,0.5542062903111178,0.021509632530932188
0.0055511569833498475,0.016132451712694063,0.17519145934824712,0.014120410752789025,0.01109702189034234,0.009057017487644425,0.5498573523581453,0.6283233536545327,0.014612009523295777,0.8418830089105689,0.0315827043968334,0.46419354348028197,0.5409246462482749,0.021164483603828277
0.0016133606523831556,0.013031443104269291,0.36481752986706356,0.015305257523350546,0.012973439091275019,0.010487437687045742,0.5205866105290419,0.569568092929769,0.016230951876649025,0.6464749688134952,0.0,0.3504783741649883,0.39011963587034304,0.010133444683504855
0.021510764979290387,0.019547091546195272,0.1889062377059224,0.019887083842749176,0.01528542407517075,0.01349090799057906,0.5562115711535066,0.6599218730065972,0.014731593684836675,0.9340529938381301,0.01635384644580569,0.7400427239278307,0.4829019388823044,0.03530289799982844
0.028796660181843237,0.040087198400183044,0.12318390405240016,0.022684181643617296,0.015826988797941866,0.016344010445640378,0.5736187725966325,0.6620811745193199,0.013625479591804601,0.8512777618535752,0.027018029248513944,0.47470565319817154,0.6586555596208465,0.035958901489392514
0.024916455270012183,0.03516995170751558,0.18648811156869266,0.024274673413970604,0.01784276351040226,0.019127591828185353,0.5810794129728984,0.6681236652720789,0.012950597379236761,0.8749826602196257,0.04316253552633427,0.48590229650372785,0.5299328502688989,0.037690181829441394
0.03753032431726633,0.0445179690062012,0.20406904890785368,0.03200845137737296,0.0205745502606125,0.022771763025513203,0.6142858814040162,0.720682248435607,0.01221130611067156,0.9754201115302952,0.06082904527587456,0.6312563291283773,0.6288344677534041,0.05341113263485042
0.036834411446244775,0.04226401301068494,0.18011138380738584,0.034456651598536725,0.02306988562023704,0.02518876898158151,0.5903234927586145,0.6326305593539442,0.01531879998059571,0.7850929000928132,0.045236580200618784,0.3154139199543509,0.6072719082539206,0.03841742938623793
0.03579044181195856,0.04988211353351979,0.14908977012276978,0.03813309980957558,0.026153464165178275,0.02798824933504429,0.5853731870789334,0.6615923267962327,0.018403177758862688,0.8690333281574995,0.05814346584313458,0.5523518444194122,0.49827135541182305,0.046554825032581904
0.03596444452816627,0.049235603917118786,0.14665007067527333,0.043421857701217315,0.029213047191148478,0.03061399379559382,0.5737943048998805,0.6619697506895864,0.019702386186649656,0.8534525909042867,0.07083914368953524,0.46893129870106004,0.4948826013819583,0.046658743258254476
0.048665238858612514,0.05386589417768406,0.26051269173468516,0.046906271808542566,0.03218829508903842,0.03391117709094815,0.5878370974920216,0.7073863990429875,0.01961670636668822,0.8997550054100565,0.09339204935083405,0.5982937952264054,0.5606893575739003,0.05936701063944405
0.039270170284191885,0.049777315409618494,0.11439464510115237,0.04823496168930064,0.03424569225815788,0.036053986700915974,0.5544672991886468,0.6203497424753496,0.021499772894116753,0.7025755562367098,0.08348876355717476,0.32434002822898605,0.38177260668532664,0.045135119346639274
0.01985344428601843,0.03202477321176056,0.14328317253068387,0.047901521721039564,0.03583302552216938,0.03741359156206958,0.5034774057952854,0.5659196734881189,0.027232332743407528,0.5675228729583817,0.07108456224391539,0.3676073250768715,0.4122363943963901,0.03538737375105727
0.023263649020716426,0.028512826782550293,0.12092253724911765,0.044810409984470057,0.03804426170900266,0.038465539589590425,0.4590866149032719,0.5476548929833818,0.03480439180531103,0.481067312483972,0.06061614875993178,0.4332035104204814,0.3444178414266308,0.032063250689915335
0.028465782147982455,0.03901404979886958,0.10819559471996255,0.04468757019707359,0.04067611138640892,0.03981391228067044,0.44182084797008575,0.57324118811025,0.03877513265906907,0.5098036337431044,0.06998277510139443,0.5255460423817704,0.3764863078014752,0.03756907141571908
0.02321148104720694,0.03745893882941265,0.13627109062005072,0.04348673144570181,0.04246838343727943,0.04112111261111551,0.4314656531375634,0.5765515337774362,0.04307413945908334,0.5214384795394694,0.08177993181822059,0.4750631836327669,0.307361973808194,0.03826157455059309
0.023333198470383842,0.036987118651515494,0.09800679246762832,0.04178448479396579,0.04404903077036393,0.04212173520512441,0.41678245312600715,0.5548432515590805,0.047499021561518084,0.40000627472743655,0.07329536267891741,0.4329827183276055,0.36957556426379207,0.03490266206180059
0.0340506444217078,0.03936347864626366,0.2863886172763202,0.03856803085735472,0.04565565975624364,0.04320672729253161,0.41343303913846174,0.5671030435160318,0.049599914348533725,0.3309312675552298,0.09808837919145115,0.49135039161635224,0.4410740646158521,0.037153488524484524
