High,Low,sma7,return_1d,vpt,return_5d,sma21,rsi,bollinger_mavg,bollinger_low,Volume,Close
RELIANCE.NS,RELIANCE.NS,,,,,,,,,RELIANCE.NS,RELIANCE.NS
0.002102612419969896,0.005324728992820438,0.0,0.41559645174777116,0.0007066386331191499,0.5437004536166548,0.0,0.8778471252901565,0.0,0.0,0.3810063438920991,0.006077354008047431
0.008739987396992555,0.019411366047736967,0.00608800582908553,0.6626709392956581,0.011058322575338786,0.5788903811854982,0.009345196583262938,0.9038849469776715,0.007928556522870833,0.00680340606082569,0.3200452852499199,0.018025356705907103
0.011560982352675553,0.018606547186652667,0.009055705298196104,0.5500208515270479,0.011098384611296919,0.5837650449121763,0.016883054949226928,0.9039874729691442,0.016620491272658855,0.018815991100690654,0.2885803499083322,0.01807247194722683
0.02516742863099375,0.01836970823760775,0.01429241829653305,0.7512828088694591,0.029533207476560547,0.7171549127687835,0.026147876153552185,0.9480727312622281,0.026436908202948972,0.032328188693585724,0.35656019749743567,0.03976187086429317
0.05657625035500713,0.06197893832809043,0.023358298004084288,0.7817076946976763,0.05210099525605458,0.7544159571995631,0.036669371665216,0.9898964196674978,0.03456659173391097,0.034381305108417304,0.6005710982529101,0.06551239873423875
0.07321713181644474,0.07864621650856463,0.033523097167163174,0.6108336675149731,0.05819234487213887,0.8881173005161068,0.0447220575113606,1.0,0.04335794857526165,0.03921289866719929,0.4781393961090487,0.07255452692968922
0.05110059380080234,0.027839763560180364,0.0344218952401375,0.15503983851160508,0.021633137967177057,0.543260416952938,0.0509587100259673,0.6970064562120004,0.049284370991811266,0.04695657408348414,0.7176054288360043,0.026757616153153196
0.038358858326625334,0.02915712796019998,0.03953887393929012,0.6848894959995854,0.034194776327620496,0.6292086155710194,0.05727323202046697,0.7356751108241841,0.05663205062567167,0.058223336751545285,0.4734714171908674,0.041491819616225833
0.02385763837247712,0.017709399416020677,0.03878670760405012,0.29175119523045484,0.010652449078634357,0.33931663075902335,0.06293012435287049,0.5925729614504793,0.06348208999933802,0.07642611701497432,0.35114201404540374,0.012819634662273316
0.009499986108788327,0.010563515786335631,0.03963350519575637,0.6537301773451455,0.02006263581939219,0.2645676955151537,0.06995496209257501,0.6258604063062898,0.07045720636575636,0.09582128341325585,0.4429815332097487,0.023933134254367938
0.016822372048281742,0.01672957135699127,0.03606935410185563,0.4680842817058979,0.012631768455907078,0.1806353413477727,0.07617547140411518,0.5840503611253802,0.07572326439544752,0.11131008083530675,0.4475703342854441,0.015094481422511574
0.007106954935211296,0.004899306497228029,0.02660357385933032,0.4085996264019665,0.0,0.33752158240820956,0.08048214623203498,0.5157365635786733,0.07980193244483602,0.12626549508731272,0.3016003261023795,0.0
0.0,0.0,0.017818517099445375,0.6618415271786761,0.009984675831776119,0.32386598416292783,0.08490254918504458,0.5569578117820586,0.08460020925324163,0.14726510469665383,0.39429257687449354,0.01175339626632188
0.0069873441361943955,0.015295585755748853,0.016167571190157215,0.5831663168251874,0.013040334988212415,0.5069672089416842,0.08962862146657691,0.5694652913769829,0.08668717874497667,0.1532978959437427,0.27916430192740066,0.015331465965127467
0.0053361369129839575,0.016012496457109116,0.011723472428978532,0.5066602081332245,0.009130858176721629,0.4155665929211889,0.09139946271569521,0.5463744227590595,0.08838350000916251,0.1589274557340275,0.26962070983887293,0.010734337126963811
0.0013638620652843825,0.011137002125136353,0.01090860398372151,0.5161712335581143,0.006109427447522853,0.4456346413322262,0.09284726218014672,0.5280045773722746,0.0888531417717513,0.16019869408589976,0.2367469163690685,0.007179953079365031
0.0034218677293799127,0.00908175054696081,0.009960210289872262,0.6458679036022978,0.01479016471214259,0.5965539907673333,0.09376510546539696,0.5697110274248107,0.08952743684475128,0.16154952533002404,0.2542183636659046,0.01736932818274972
0.015745521967131082,0.026767271399197545,0.012117203572098223,0.6673757522614384,0.02568825478317105,0.6000654835181142,0.09499148534899915,0.6183781043372891,0.0908543175590596,0.16357800518614912,0.28599442965453886,0.03002297124075426
0.012036409267193404,0.028511896284311167,0.015917632199615506,0.515578275793446,0.02253427937658742,0.5566172404476278,0.09608047324525493,0.5962724209663179,0.09202751195203007,0.16580596817003573,0.2852549589248817,0.026302659604160228
0.04379095947410805,0.039649061635765315,0.021851079501132742,0.7932430830006841,0.04549676349248105,0.741103316020737,0.09842245509475567,0.6908846808145697,0.09359908968731556,0.1653932017945418,0.28469314477113633,0.05281861809972965
0.044580617110751786,0.061086755893867806,0.028318637046482187,0.6139706448285501,0.05174905287899351,0.8068107906636569,0.100252762572271,0.7137142121052849,0.0962287700394634,0.16632924457464177,0.1578992488361235,0.060093249768648715
0.05415232763861422,0.06708541377107702,0.03585785587975043,0.5742914150234238,0.0541681543856708,0.7589583856870077,0.10288261179608726,0.722689125878315,0.09841405838721418,0.16617829420313784,0.18090158452902164,0.0629130585524661
0.06827076917641206,0.07074208864585907,0.046523004746528485,0.7073990795206248,0.06969620750133548,0.7853324794081926,0.10579619928870088,0.7771483513166288,0.10147725421252107,0.16456143857457323,0.24377246205329378,0.08099314831724325
0.081910619259293,0.08637230605809121,0.0558460195268744,0.5572531151227108,0.07046694149639263,0.8136253152082151,0.10874927394463185,0.7797453402918733,0.10352837478195509,0.16239395159049014,0.2357494423339698,0.0818936511700199
0.08210207561428917,0.08221383874554167,0.06250531844125384,0.5003922308577736,0.06555155885913277,0.6218965993348653,0.11043122390493809,0.7368726301451047,0.10404438983532371,0.16158082575815952,0.22390568010965642,0.0761117916645968
